Kabupaten/Kota;Tempat Usaha;Nilai Penjualan;Status Badan Usaha;Kategori KBLI;;;;
Kabupaten Lamongan;Lainnya (Teras Rumah);Rp2.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;F. Konstruksi;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Lainnya (Toko di pasar);Rp60.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Kaki Lima;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;A. Pertanian, Kehutanan, Dan Perikanan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp4.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Kaki Lima;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;J. Informasi Dan Komunikasi;;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Lainnya (Los Pasar);Rp30.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp8.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Keliling;Rp21.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Keliling;Rp9.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
